TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,,
,,,,,,,,,,,,,,
project_note,"PART 1 IMPORT PACKAGE (manual checklist fallback)

Phase 1 (Week 1): Go foundations + CLI basics
- Week 1 goal: từ zero -> viết được CLI nhỏ có validate input.

Day 1 (2026-05-04) — Environment + Execution Loop
- Learn:
  - go run, go build, go fmt, module basics.
  - đọc/ chạy các ví dụ 01-03 trong learngo.
- Input:
  - Go installed, repo cloned.
- Output:
  - 1 file `hello_cli.go` chạy được.
  - 1 note: 10 command quan trọng.
- Checklist:
  - chạy >= 3 ví dụ từ repo.
  - format code bằng `go fmt`.
  - build thành công không warning runtime.
- Done criteria:
  - tạo project mới và chạy được trong <2 phút.

Day 2 (2026-05-05) — Variables, types, zero values, redeclaration
- Learn:
  - var vs :=, type inference, zero-value behavior.
  - common compile-time errors.
- Input:
  - lessons thuộc nhóm 06.
- Output:
  - 1 chương trình in type/value của 8 biến.
  - 1 note: 5 lỗi compile hay gặp + cách fix.
- Checklist:
  - cover int/float/string/bool/rune.
  - test package scope vs function scope.
  - cố tình tạo redeclare error rồi sửa.
- Done criteria:
  - giải thích rõ khi nào dùng var, khi nào dùng :=.

Day 3 (2026-05-06) — Formatted output (printf) for debugging and UX
- Learn:
  - %v, %T, %.2f, width/alignment.
- Input:
  - 07-printf exercises.
- Output:
  - report console có cột thẳng hàng, dễ đọc.
- Checklist:
  - log cả happy path và invalid input.
  - output có message dành cho user, không chỉ dev.
- Done criteria:
  - người khác nhìn output hiểu vấn đề mà không xem code.

Day 4 (2026-05-07) — Numbers/strings/conversion boundaries
- Learn:
  - precedence, parse/convert, string length caveat.
- Input:
  - nhóm 08 exercises.
- Output:
  - mini calculator CLI (+ - * /).
- Checklist:
  - validate argument count.
  - reject bad numbers gracefully.
  - test >=6 case CLI.
- Done criteria:
  - không panic với input bẩn.

Day 5 (2026-05-08) — Constants + iota with business naming
- Learn:
  - untyped constants, iota patterns, readability tradeoff.
- Input:
  - nhóm 10 constants.
- Output:
  - constants file (units/status/time blocks).
- Checklist:
  - >=2 nhóm iota.
  - remove magic numbers khỏi code ngày trước.
- Done criteria:
  - mỗi constant name nói lên business meaning.

Day 6 (2026-05-09) — Week 1 integration lab
- Learn:
  - ghép tất cả vào 1 luồng CLI thực tế.
- Input:
  - code Day 1-5.
- Output:
  - CLI `convert` có: parse input, validate, compute, render output.
- Checklist:
  - clear help text.
  - clear exit paths.
  - no nested-if quá sâu.
- Done criteria:
  - demo 5 lệnh liên tiếp không lỗi.

Day 7 (2026-05-10) — Weekly review + gap list
- Output:
  - retrospective 1 trang: learned / failed / next fix.
  - backlog kỹ thuật tuần 2.

Phase 2 (Week 2): Control flow + error handling mindset
- Week 2 goal: code chạy ổn định trong điều kiện xấu.

Day 8 (2026-05-11) — If/switch decision design
- Learn:
  - guard clause, multi-case switch.
- Output:
  - classifier CLI (risk/category).
- Done criteria:
  - logic branch đọc được trong 1 màn hình.

Day 9 (2026-05-12) — Loops + break/continue + range semantics
- Output:
  - 3 mini tools: sum/filter/token scan.
- Done criteria:
  - fix được 1 off-by-one bug có ghi lại nguyên nhân.

Day 10 (2026-05-13) — Error handling contract
- Learn:
  - explicit error paths, non-zero exit, user-friendly messages.
- Output:
  - hardened parser package.
- Done criteria:
  - test both happy + error paths.

Day 11 (2026-05-14) — Input/output contract first (real project habit)
- Output:
  - spec ngắn cho feature: inputs, outputs, errors, examples.
- Done criteria:
  - chưa code nhưng teammate hiểu cách dùng.

Day 12 (2026-05-15) — Implement feature from spec
- Output:
  - code feature + README usage.
- Done criteria:
  - README đủ để người khác chạy.

Day 13 (2026-05-16) — Hardening + test matrix
- Output:
  - test matrix >=12 case.
  - fix top 3 failures.
- Done criteria:
  - pass toàn bộ manual matrix.

Day 14 (2026-05-17) — Week 2 review
- Output:
  - risk list tuần 3 + debt list.

Phase 3 (Week 3): Practical mini-project shipping
- Week 3 goal: mô phỏng mini lifecycle đi làm.

Day 15 (2026-05-18) — Project design day
- Learn:
  - decomposition: parse/validate/compute/render.
- Output:
  - 1-page architecture note + CLI command map.

Day 16 (2026-05-19) — Build v1 (happy path)
- Output:
  - 2 command chạy được.

Day 17 (2026-05-20) — Build v2 (error paths)
- Output:
  - robust invalid-input handling + help UX.

Day 18 (2026-05-21) — Refactor for readability
- Output:
  - function nhỏ, naming rõ, giảm duplicate.

Day 19 (2026-05-22) — Testing and quality gate
- Output:
  - manual test pack + edge-case evidence.

Day 20 (2026-05-23) — Release prep
- Output:
  - README, usage samples, known limitations.

Day 21 (2026-05-24) — Final review demo day
- Output:
  - 5-minute demo script.
  - retrospective: what to keep/change for Part 2.

How real projects run (must-practice for work)
- Step 1: Clarify acceptance criteria before coding.
- Step 2: Define input/output/error contract.
- Step 3: Ship thin vertical slice first.
- Step 4: Harden error handling + tests.
- Step 5: Improve readability only after behavior is stable.
- Step 6: Write release note + limitations.

Accelerate mode (1-month path)
- Keep critical days: 2,4,10,15,16,17,19,21.
- Still mandatory outputs: 1 spec, 1 working CLI mini-project, 1 test matrix, 1 retrospective.",,,,,Ngô (56385805),,2026-05-03T02:09:16.674522Z,,,,,,
project_note,"Synced from `C:\learn-go` on 2026-05-03.

Read files:
- `roadmap_final.md` — primary 12-week roadmap
- `lo_trinh_hoc_go_3_thang.docx` — exported final document
- `roadmap_phase1.md`, `roadmap_phase2.md`, `roadmap_phase3.md` — phase drafts/details
- `outline.md`, `plan.md`, `critic_report.md` — planning and review
- `research/learngo_inventory.md`, `research/go_tour_crossref.md`, `research/backend_gaps.md` — coverage/gap research

Project cleanup applied:
- Renamed project from Week 1-3 to 12-week backend foundations/capstone.
- Added 6 sections.
- Moved 4 phase parent tasks into phase sections.
- Added source/quality gate tasks.
- Removed old temp deletion placeholder.",,,,,Ngô (56385805),,2026-05-03T10:55:59.856267Z,,,,,,
project_note,"Second-pass enrichment on 2026-05-03:

- Rewrote phase, sprint, block/project/recovery/consolidation/gate task titles toward Vietnamese.
- Expanded descriptions so Todoist can act as the source of truth without opening `C:\learn-go`.
- Standardized task descriptions around source/input/work/output/done criteria.
- Preserved technical terms where they are clearer as-is: package, scope, type system, slice, map, interface, channel, JWT, PostgreSQL, Docker, Fly.io.
- Added richer backend gap coverage from `research/backend_gaps.md` into quality gates and Week 12 capstone tasks.",,,,,Ngô (56385805),,2026-05-03T11:06:35.169735Z,,,,,,
project_note,"Added phase-level pass projects on 2026-05-03:

- Phase 1: Go Foundation CLI Suite, pass >=85/100.
- Phase 2: Unicode File Report Toolkit, pass >=85/100.
- Phase 3: Idiomatic Go Package Design Audit, pass >=85/100.
- Phase 4: Production-ish Go Backend Capstone, pass >=90/100.

Each phase parent now states that the phase is only considered passed when its phase project reaches the passrate rubric, not merely when learning tasks are checked off.",,,,,Ngô (56385805),,2026-05-03T11:13:46.708542Z,,,,,,
,,,,,,,,,,,,,,
section,00 • Source & Quality Gates,,True,,,,,,,,,,,
task,Nguồn chính — C:\learn-go là source of truth của lộ trình,"Mô tả: Task này là bản đồ nguồn để Todoist tự đủ thông tin, không phải mở thư mục C:\learn-go mỗi lần học.

Nguồn chính:
- C:\learn-go\roadmap_final.md: bản lộ trình 12 tuần đầy đủ nhất.
- C:\learn-go\lo_trinh_hoc_go_3_thang.docx: bản xuất DOCX của roadmap.

Nguồn hỗ trợ:
- roadmap_phase1.md, roadmap_phase2.md, roadmap_phase3.md: chi tiết theo phase.
- outline.md, plan.md, critic_report.md: thiết kế, quy trình tạo nội dung, review chất lượng.
- research\learngo_inventory.md: kiểm kê folder learngo.
- research\go_tour_crossref.md: đối chiếu Go Tour.
- research\backend_gaps.md: các gap backend phải bổ sung.

Output mong muốn: Todoist chứa đủ phase, sprint, input, việc làm, output, done criteria và checkpoint để học trực tiếp trong Todoist.",,1,1,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Cổng chất lượng — Nhịp học hằng tuần,"Input: roadmap_final.md, section từng tuần, checkpoint, quiz/debug challenge.

Cách học chuẩn mỗi tuần:
1. Đọc đúng folder learngo hoặc resource bổ sung được ghi trong sprint.
2. Làm exercise nhỏ trước khi viết project.
3. Viết note Dart -> Go bridge: điểm giống, điểm khác, thứ dễ nhầm.
4. Chạy code thật, không chỉ đọc.
5. Cuối tuần làm checkpoint, quiz/debug challenge, recovery hoặc consolidation.

Output: mỗi tuần phải có code chạy được, note tổng kết, danh sách lỗi đã gặp, và ít nhất một artefact có thể review.

Done criteria: không tick xong tuần nếu chưa có output cụ thể và chưa trả lời được 'vì sao làm vậy'.",,2,1,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
